 * Serving Flask app "main" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on https://0.0.0.0:8000/ (Press CTRL+C to quit)
101.94.167.118 - - [27/Jun/2019 23:18:34] "POST /login HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:18:34] "GET /rank HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:18:34] "GET /news HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:18:34] "GET /gift HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:18:37] "GET /gift HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:18:37] "GET /news HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:18:37] "GET /rank HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:19:12] "POST /login HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:19:12] "GET /news HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:19:12] "GET /gift HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:19:12] "GET /rank HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:19:28] "POST /news HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:19:43] "POST /rank HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:19:44] "POST /rank HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:19:44] "POST /rank HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:19:44] "POST /rank HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:19:44] "POST /rank HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:19:44] "POST /rank HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:19:44] "POST /rank HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:19:44] "POST /rank HTTP/1.1" 200 -
101.94.167.118 - - [27/Jun/2019 23:19:44] "POST /rank HTTP/1.1" 200 -
